input    result
27.12    24.47
31.46    29.42
27.12    24.70
28.48    26.98
27.18    24.54
33.96    28.50
27.79    21.84
29.95    24.17
26.72    23.46
27.13    22.71
28.90    24.04
27.85    23.00
29.58    24.56
28.94    23.99
27.19    23.25
27.09    22.28
29.57    24.17
27.49    21.42
26.04    21.00
33.73    28.28
28.76    22.56
29.21    23.29
29.33    24.40
27.84    21.70
30.77    24.58
29.68    24.35
27.15    22.23
26.43    21.61
28.98    23.28
26.96    21.94
27.20    21.60
28.95    22.92
30.34    24.51
27.09    21.37
26.69    21.86
33.48    28.18
28.44    22.86
31.09    25.18
25.44    20.85
25.68    20.77
28.47    22.22
30.12    24.36
29.16    23.43
26.99    20.98
26.53    22.36
30.31    24.49
28.00    22.62
28.58    23.81
28.23    22.76
27.98    22.66
36.78    32.42
28.97    24.02
33.31    28.23
28.75    22.83
30.98    26.79
28.79    23.79
30.55    24.23
25.37    20.39
31.96    26.17
28.08    23.04
27.91    22.84
32.80    26.99
28.39    22.40
29.78    24.82
28.48    22.28
35.15    26.78
28.77    20.39
31.02    22.53
27.51    22.22
27.96    21.42
29.83    22.70
28.86    21.55
30.56    23.16
29.92    22.52
27.91    22.05
28.12    20.76
30.66    22.65
28.49    19.84
27.07    19.54
34.93    26.63
29.78    21.04
30.21    21.76
30.28    23.04
28.86    20.11
31.60    23.43
30.72    22.82
27.97    20.84
27.42    20.12
30.01    21.62
27.97    20.42
28.32    19.99
29.93    21.41
31.38    22.83
28.01    19.97
27.64    20.56
34.63    26.44
29.47    21.25
32.18    23.56
26.41    19.46
26.68    19.39
29.51    20.75
31.16    22.74
30.05    22.17
28.00    19.57
27.24    21.38
31.35    23.00
28.95    21.12
29.56    22.33
29.05    21.68
29.03    21.08
38.29    30.66
29.93    22.65
34.34    26.51
29.77    21.19
31.88    25.38
29.72    22.30
31.47    23.06
26.46    18.92
33.06    24.59
29.20    21.48
28.73    21.64
33.94    25.29
29.38    20.82
30.78    23.40
29.50    20.81
36.60    25.51
29.98    19.22
32.28    21.25
28.52    21.21
29.07    20.36
31.05    21.58
30.15    20.41
31.82    22.03
31.28    21.36
28.93    21.03
29.40    19.54
32.06    21.47
29.71    18.78
28.32    18.40
36.38    25.37
31.01    19.96
31.33    20.67
31.55    21.93
30.08    18.97
32.65    22.61
32.20    21.60
29.04    19.73
28.77    18.94
31.20    20.47
29.23    19.30
29.52    18.82
31.10    20.30
32.65    21.60
29.10    18.91
28.95    19.47
36.07    25.12
30.70    20.06
33.47    22.38
27.62    18.36
27.96    18.27
30.74    19.64
32.46    21.52
31.14    21.28
29.23    18.43
28.26    20.50
32.61    21.84
30.28    19.94
30.78    21.22
30.17    20.85
30.34    19.84
40.25    29.27
31.22    21.52
35.65    25.25
31.02    19.96
33.01    24.29
31.08    21.19
32.42    22.36
27.71    17.81
34.44    23.45
30.38    20.34
29.76    20.82
35.30    24.06
30.61    19.71
32.08    22.24
30.74    19.71
